H012 vendor live SDMMC0 sample kernel=5.15.147-21-a733
index ns GCTRL CLKCR CMDR RINTR STAS FTRGL THLD DMAC DLBA IDST IDIE CHDA CBDA CBCR BBCR DESC_PHYS DESC0 DESC1 DESC2 DESC3 DESC4 DESC5 DESC6 DESC7
050 1781109909385087293 0x20000010 0x00030000 0x00003352 0x00010000 0x00006106 0x200700f8 0x02000001 0x00000200 0x3fc60800 0x00000000 0x00000002 0x3fc60800 0x42eb3800 0x00000006 0x00000000 0xff182000 0x8000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
051 1781109909390389919 0x20000010 0x00030000 0x00003352 0x00010000 0x00006106 0x200700f8 0x02000001 0x00000200 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000 0xff182000 0x8000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
052 1781109909395617088 0x20000830 0x00030000 0x00003352 0x00010004 0x00009506 0x200700f8 0x02000001 0x00000282 0x3fc60800 0x0000a000 0x00000002 0x3fc60800 0x42eb3800 0x00000006 0x00000000 0xff182000 0x8000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
053 1781109909400899589 0x20000830 0x00030000 0x00003352 0x00010024 0x00089402 0x200700f8 0x02000001 0x00000282 0x3fc60800 0x0000a000 0x00000002 0x3fc60800 0x42eb3b40 0x00000006 0x00000000 0xff182000 0x0000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
054 1781109909406193424 0x20000830 0x00030000 0x00003352 0x00010024 0x00089402 0x200700f8 0x02000001 0x00000282 0x3fc60800 0x0000a000 0x00000002 0x3fc60800 0x42eb3c00 0x00000006 0x00000000 0xff182000 0x0000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
055 1781109909411430259 0x20000830 0x00030000 0x00003352 0x00010024 0x00069402 0x200700f8 0x02000001 0x00000282 0x3fc60800 0x0000a000 0x00000002 0x3fc60800 0x42eb3b40 0x00000006 0x00000000 0xff182000 0x0000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
056 1781109909416704677 0x20000010 0x00030000 0x00003352 0x00010000 0x00006106 0x200700f8 0x02000001 0x00000200 0x3fc60800 0x00004000 0x00000002 0x3fc60800 0x42eb3800 0x00000006 0x00000000 0xff182000 0x8000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
057 1781109909422005012 0x20000010 0x00030000 0x00003352 0x00010000 0x00006106 0x200700f8 0x02000001 0x00000200 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000 0xff182000 0x0000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
058 1781109909427230805 0x20000010 0x00030000 0x00003352 0x00010000 0x00006106 0x200700f8 0x02000001 0x00000200 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000 0xff182000 0x8000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
059 1781109909432505515 0x20000830 0x00030000 0x00003352 0x0001402c 0x00006106 0x200700f8 0x02000001 0x00000282 0x3fc60800 0x00000002 0x00000002 0x00000000 0x00000000 0x00000006 0x00000000 0xff182000 0x0000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
060 1781109909437793767 0x20000830 0x00030000 0x00003352 0x00010004 0x00009506 0x200700f8 0x02000001 0x00000282 0x3fc60800 0x0000a000 0x00000002 0x3fc60800 0x42eb3800 0x00000006 0x00000000 0xff182000 0x8000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
061 1781109909443032393 0x20000830 0x00030000 0x00003352 0x00010004 0x00009506 0x200700f8 0x02000001 0x00000282 0x3fc60800 0x0000a000 0x00000002 0x3fc60800 0x42eb3800 0x00000006 0x00000000 0xff182000 0x8000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
062 1781109909448240645 0x20000830 0x00030000 0x00003352 0x00010004 0x00009506 0x200700f8 0x02000001 0x00000282 0x3fc60800 0x0000a000 0x00000002 0x3fc60800 0x42eb3800 0x00000006 0x00000000 0xff182000 0x8000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
063 1781109909453571813 0x20000830 0x00030000 0x00003352 0x00010024 0x000e9402 0x200700f8 0x02000001 0x00000282 0x3fc60800 0x0000a000 0x00000002 0x3fc60800 0x42eb3b58 0x00000006 0x00000000 0xff182000 0x0000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
064 1781109909458875231 0x20000830 0x00030000 0x00003352 0x00010024 0x00006106 0x200700f8 0x02000001 0x00000200 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000 0xff182000 0x0000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
065 1781109909464098816 0x20000830 0x00030000 0x00003352 0x00010004 0x00009506 0x200700f8 0x02000001 0x00000282 0x3fc60800 0x0000a000 0x00000002 0x3fc60800 0x42eb3800 0x00000006 0x00000000 0xff182000 0x8000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
066 1781109909469387109 0x20000830 0x00030000 0x00003352 0x00010004 0x00009506 0x200700f8 0x02000001 0x00000282 0x3fc60800 0x0000a000 0x00000002 0x3fc60800 0x42eb3800 0x00000006 0x00000000 0xff182000 0x8000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
