H014 vendor live SDMMC0 GCTRL/TMOUT sample kernel=5.15.147-21-a733
index ns GCTRL TMOUT CMDR RINTR STAS DMAC DLBA IDST CHDA CBDA CBCR BBCR
110 1781110900471060537 0x20000830 0x01312dff 0x00003352 0x00010000 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
111 1781110900476269087 0x20000010 0xffffffff 0x00003352 0x00010000 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
112 1781110900481536761 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
113 1781110900486761560 0x20000830 0x01312dff 0x00003352 0x00010024 0x00049402 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
114 1781110900492037401 0x20000010 0xffffffff 0x00003352 0x00010000 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
115 1781110900497246909 0x20000010 0xffffffff 0x00003352 0x00010000 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
116 1781110900502512750 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
117 1781110900507736757 0x20000830 0x01312dff 0x00003352 0x00010024 0x00069402 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
118 1781110900512946682 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
119 1781110900518327481 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
120 1781110900523696406 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
121 1781110900528983788 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
122 1781110900534273213 0x20000010 0xffffffff 0x00003352 0x00010000 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
123 1781110900539653054 0x20000010 0xffffffff 0x00003352 0x00010000 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
124 1781110900544938145 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
125 1781110900550228569 0x20000010 0xffffffff 0x00003352 0x00010000 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
126 1781110900555542369 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
127 1781110900560752876 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
128 1781110900566097884 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
129 1781110900571483809 0x20000830 0x01312dff 0x00003352 0x0001002c 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
130 1781110900576692691 0x20000010 0xffffffff 0x00003352 0x00010000 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
131 1781110900581890199 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
132 1781110900587103290 0x20000010 0xffffffff 0x00003352 0x00010000 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
133 1781110900592313464 0x20000010 0xffffffff 0x00003352 0x00010000 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
134 1781110900597581138 0x20000010 0xffffffff 0x00003352 0x00010000 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
135 1781110900602805104 0x20000830 0x01312dff 0x00003352 0x00010024 0x00069402 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
136 1781110900608083362 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
137 1781110900613293328 0x20000010 0xffffffff 0x00003352 0x00010000 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
138 1781110900618637044 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
139 1781110900623923927 0x20000830 0x01312dff 0x00003352 0x00010024 0x00089402 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
140 1781110900629272476 0x20000830 0xffffffff 0x00003352 0x00010000 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
141 1781110900634571942 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
142 1781110900639859117 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
143 1781110900645068249 0x20000010 0xffffffff 0x00003352 0x00010000 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
144 1781110900650339924 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
